dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,7,19,18,28.6118164,GAUSSIAN,Perturbed,true,0.019583705483400212,0.07173547991184472,4.562048804068166,2.0,4.0,814001.6086903372,0.8584965022812755,1.5,0.003,7.0,3097.615453146513,5664,17.2,16.2,1.276,24694,1882649.0625,false,939274.09375
thermo-20y-qc,7,20,19,30.3760734,GAUSSIAN,Perturbed,true,0.019802780830436188,0.07680938434935661,5.878395773653819,2.0,3.0,305775.93461486365,0.8639894237566884,2.0301522456357817,0.003,7.0,2656.613425844398,7185,20.8,17.6,1.723,28393,1190585.0,false,414573.265625
thermo-20y-qc,7,21,20,31.5639266,GAUSSIAN,Perturbed,true,0.019968282109655885,0.043410226884080125,5.312220664640287,2.0,6.0,552079.9023808083,0.964852085570598,1.5939752237862557,0.003,7.0,2284.9774554627147,4388,15.1,15.5,1.161,19029,1800971.75,false,686259.25
thermo-20y-qc,7,22,21,33.7772265,GAUSSIAN,Evolution,true,0.023425347855079135,0.021908862392396217,6.412251182106221,1.0,3.0,298643.92259969056,0.8037408927052907,1.5,0.001,5.0,2068.844383142473,12907,31.3,25.1,2.134,43138,763664.0625,false,353933.203125
thermo-20y-qc,7,23,22,35.5295741,GAUSSIAN,Evolution,true,0.04293258293184669,0.03915412304402263,6.033010438326287,2.0,3.0,441528.3595222393,0.8781281987165234,1.5,0.003,7.0,3057.0313997589155,8629,23.3,23.0,1.699,34013,1084050.75,false,513226.328125
thermo-20y-qc,7,24,23,36.322462,GAUSSIAN,Evolution,true,0.05749024831112985,0.018905460881734986,7.220911957041245,1.0,6.0,1067803.320938743,0.6564942316886652,2.1814247815114487,0.001,5.0,953.5997071474329,2737,18.7,9.8,0.777,10927,2987452.5,false,1279349.875
thermo-20y-qc,7,25,24,37.9603809,GAUSSIAN,Evolution,true,0.0463711883995806,0.0169528670035283,3.6558739420793724,1.0,3.0,580585.2413414837,0.8345326581075252,2.047770426331711,0.001,5.0,1875.869985141159,5703,23.1,13.2,1.602,21536,1587394.875,false,690892.71875
thermo-20y-qc,7,26,25,39.8104694,GAUSSIAN,Evolution,true,0.019802780830436188,0.08030146612263338,5.878395773653819,2.0,3.0,292951.0805928655,0.8639894237566884,2.0301522456357817,0.003,7.0,2674.5176769434197,7286,20.9,17.7,1.805,28738,1167455.9375,false,398930.59375
thermo-20y-qc,7,27,26,41.037357,GAUSSIAN,Evolution,true,0.027276702385250318,0.07173547991184472,4.562048804068166,2.0,3.0,959179.911614356,0.8584965022812755,1.5,0.003,7.0,2989.0681386299884,5009,16.9,14.3,1.193,22102,2189622.0,false,1083259.875
thermo-20y-qc,7,28,27,42.2996498,GAUSSIAN,Evolution,true,0.04615992481452292,0.07911366360591926,4.673357508085702,3.0,4.0,794799.968771339,0.695848782812946,1.9039315168044864,0.005,15.0,2173.405219712323,4847,17.7,14.2,1.232,20231,1994869.375,false,935239.84375
thermo-20y-qc,7,29,28,44.0520472,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3698.828056096301,5743,16.7,13.8,1.715,25171,1642642.25,false,762649.53125
thermo-20y-qc,7,30,29,45.3287893,GAUSSIAN,Evolution,true,0.04247826865662002,0.046562697744305,9.3378560516948,4.0,3.0,429838.00527141546,0.76670587199344,2.108754444348662,0.008,15.0,1707.67904060054,5622,22.9,17.0,1.243,21847,1545235.8125,false,547371.6875
thermo-20y-qc,7,31,30,47.2817576,GAUSSIAN,Evolution,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,232108.8674324998,0.85,1.7,0.003,7.0,3263.262799390835,9432,23.7,20.0,1.887,36115,875212.46875,false,303409.046875
thermo-20y-qc,7,32,30,47.2819285,GAUSSIAN,Evolution,true,0.01729187648743391,0.0546247223391407,9.303739826704659,3.0,3.0,574205.2442547331,0.6626534646140984,2.479059675996951,0.005,15.0,1316.254615910645,4381,19.6,14.8,0.0,17548,2048971.5,true,718258.0625
thermo-20y-qc,7,33,31,48.6194307,GAUSSIAN,Evolution,true,0.01729187648743391,0.0412394570450238,3.0,1.0,9.0,457331.62484903954,0.8846093891855504,1.6456102346234824,0.001,5.0,1110.2176676717463,3279,23.8,10.8,1.316,12271,1564327.5,false,569865.59375
thermo-20y-qc,7,34,32,50.6373145,GAUSSIAN,Evolution,true,0.035722516591169776,0.03325735659976222,4.05722784439998,3.0,3.0,349222.0841124346,0.799218778371101,1.7693268850813015,0.005,15.0,3040.331800587876,9105,24.0,19.1,1.962,34361,985568.1875,false,421832.09375
thermo-20y-qc,7,35,33,51.8687393,GAUSSIAN,Evolution,true,0.04019741829186581,0.07538046560267396,4.1475358117570575,2.0,3.0,959179.911614356,0.883887113095725,1.5,0.003,7.0,3161.932906143988,4786,16.8,13.2,1.202,21224,2196923.125,false,1079914.9375
thermo-20y-qc,7,36,34,53.1411995,GAUSSIAN,Evolution,true,0.019968282109655885,0.10633658732859748,5.312220664640287,1.0,6.0,402302.02644864214,0.964852085570598,1.5939752237862557,0.001,5.0,1885.0256397637795,4923,17.5,16.4,1.243,20320,1518880.25,false,523890.296875
thermo-20y-qc,7,37,35,54.9006101,GAUSSIAN,Evolution,true,0.03160145338088426,0.010878394921664423,5.0,2.0,6.0,232108.8674324998,0.85,1.7,0.003,7.0,2687.0740255260434,7930,27.7,18.0,1.709,28990,889630.28125,false,307440.390625
thermo-20y-qc,7,38,35,54.9007588,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3698.828056096301,5743,16.7,13.8,0.0,25171,1642642.25,true,762649.53125
thermo-20y-qc,7,39,35,54.9007941,GAUSSIAN,Evolution,true,0.0352854691331628,0.036593156604568806,9.340881425780097,3.0,8.0,507416.31386461295,0.6592324680452285,1.8280941902949732,0.005,15.0,995.1572779439101,3168,24.0,14.4,0.0,12373,1824012.75,true,635857.8125
thermo-20y-qc,7,40,35,54.9008135,GAUSSIAN,Evolution,true,0.056426274521181465,0.03395177327770523,7.479780308021494,3.0,3.0,774656.5693982973,0.97,1.6921737656817217,0.005,15.0,1770.859493396839,4377,16.9,17.4,0.0,18476,2076975.375,true,926920.8125
thermo-20y-qc,7,41,35,54.900853,GAUSSIAN,Evolution,true,0.027276702385250318,0.07173547991184472,4.562048804068166,2.0,3.0,959179.911614356,0.8584965022812755,1.5,0.003,7.0,2989.0681386299884,5009,16.9,14.3,0.0,22102,2189622.0,true,1083259.875
thermo-20y-qc,7,42,36,56.9284925,GAUSSIAN,Evolution,true,0.023425347855079135,0.08483522283691357,5.359758295864549,1.0,4.0,298643.92259969056,0.8037408927052907,1.5,0.001,5.0,2299.8203213451206,10927,22.5,23.3,1.955,41513,867390.875,false,365954.109375
thermo-20y-qc,7,43,37,58.4567643,GAUSSIAN,Evolution,true,0.03735787127941445,0.17199100747961088,3.0,2.0,3.0,849046.8500488099,0.97,1.5,0.003,7.0,3553.6365299802947,4756,15.7,11.4,1.499,21314,2081649.6875,false,982178.28125
thermo-20y-qc,7,44,38,60.4501681,GAUSSIAN,Evolution,true,0.03376977557703652,0.17199100747961088,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3603.0189774153073,5820,16.5,13.8,1.948,25504,1645110.75,false,764675.28125
thermo-20y-qc,7,45,39,62.2555219,GAUSSIAN,Evolution,true,0.04129812766331984,0.17199100747961088,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3683.3596880623877,5712,16.8,13.8,1.77,25005,1642711.0,false,762665.96875
thermo-20y-qc,7,46,39,62.2556738,GAUSSIAN,Evolution,true,0.01729187648743391,0.0546247223391407,9.303739826704659,3.0,3.0,574205.2442547331,0.6626534646140984,2.479059675996951,0.005,15.0,1316.254615910645,4381,19.6,14.8,0.0,17548,2048971.5,true,718258.0625
thermo-20y-qc,7,47,40,63.5626062,GAUSSIAN,Evolution,true,0.04050814046466733,0.046562697744305,9.809242129494809,4.0,3.0,472689.6663401982,0.76670587199344,2.108754444348662,0.008,15.0,1611.1598732536368,5277,21.7,16.8,1.275,20829,1686407.625,false,608023.6875
