dataset,detector,distribution,n,q00,q01,q02,q05,q10,q15,q20,q25,q30,q40,q50,q60,q70,q80,q90,q95,q98,q99,q100,q100
thermo-20y-qc,Factor of lowest signal,edgeIntensities,1883,6007.8486328125,8023.709716796875,8907.4833984375,10500.92236328125,13509.71142578125,16932.2880859375,24462.5673828125,32644.7275390625,39476.619140625,55607.94140625,77919.3046875,115423.47265625,178310.078125,291502.296875,645191.875,1462907.5,2147029.875,2860986.5,4438848.25,1.690865E7
thermo-20y-qc,Factor of lowest signal,isotopeFwhms,1384,0.00859436858445406,0.011369150597602129,0.013597482349723577,0.01729187648743391,0.018933728337287903,0.020234582014381886,0.021390444599092007,0.022519857622683048,0.023709203116595745,0.027119474485516548,0.030181679874658585,0.0327436700463295,0.03615891374647617,0.043635157868266106,0.07158315181732178,0.10185695067048073,0.17302332073450089,0.3162933439016342,0.41744060814380646,13.088266372680664
thermo-20y-qc,Factor of lowest signal,lowestIsotopeHeights,527,12964.263671875,22113.6064453125,24771.021484375,37804.884765625,55614.57421875,79603.2109375,112865.09375,141169.6875,161645.7578125,260326.1171875,434925.40625,667164.34375,1055666.53125,1492977.4375,2453167.25,3463642.125,4809842.75,5491284.25,6097461.0,8908593.0
thermo-20y-qc,Factor of lowest signal,lowestIsotopeDataPoints,527,3.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,11.0,12.0,16.0,21.5,27.0,36.5,45.5,52.5,72.0
thermo-20y-qc,Factor of lowest signal,rtDeviations,1695,1.430511474609375E-6,4.404783248901367E-5,6.520748138427734E-5,2.1755695343017578E-4,4.260540008544922E-4,6.768107414245605E-4,9.198784828186035E-4,0.0011591911315917969,0.0014519691467285156,0.0019780397415161133,0.0027265548706054688,0.003571748733520508,0.004480600357055664,0.005759000778198242,0.009548485279083252,0.020690441131591797,0.04613828659057617,0.06060826778411865,0.06905736029148102,0.09088277816772461
