dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,TPE numerical fallback
zenotof-feces-pos,42,1,1,6.0275645,SOBOL,Estimate,true,0.04732702486217022,0.02121567726135254,7.0,2.0,6.0,198.0,0.85,1.7,0.003,7.0,15420.158015124638,4598,19.9,0.6,5.202,21422,416.0952453613281,false,220.7142791748047,
zenotof-feces-pos,42,2,1,6.0337723,SOBOL,Estimate,true,0.04732702486217022,0.02121567726135254,7.0,2.0,6.0,198.0,0.85,1.7,0.003,7.0,15420.158015124638,4598,19.9,0.6,0.0,21422,416.0952453613281,true,220.7142791748047,
zenotof-feces-pos,42,3,2,28.258492,SOBOL,Perturbed,true,0.026574798859655857,0.003304324810599357,7.0,2.0,3.0,40.0,0.5004124503671634,1.5,0.003,7.0,83.59880788629069,81400,63.1,4.3,21.178,139584,73.65714263916016,false,44.02857208251953,
zenotof-feces-pos,42,4,3,31.4083168,SOBOL,Perturbed,true,0.06630904794167297,0.015142351102658257,7.0,2.0,7.0,277.4142581471621,0.7865979634815683,1.9023469250588243,0.003,7.0,12039.831792273591,3326,19.7,0.5,3.115,15790,575.7142639160156,false,309.4047546386719,
zenotof-feces-pos,42,5,4,36.042332,SOBOL,Perturbed,true,0.03377890878895896,0.029724905901756218,9.80757478298048,3.0,4.0,141.31934047601527,0.9134020365184317,1.5,0.005,15.0,13287.635343618513,7986,23.6,1.3,4.556,34937,265.6000061035156,false,154.87142944335938,
zenotof-feces-pos,42,6,5,41.0013653,SOBOL,Perturbed,true,0.04035687645962432,0.018091111130208566,8.208989473371041,3.0,5.0,111.39610251786789,0.8200478997873487,2.0451048141128023,0.005,15.0,14013.389422115577,10159,29.8,1.2,4.873,40008,205.57142639160156,false,122.57142639160156,
zenotof-feces-pos,42,7,6,44.3790474,SOBOL,Perturbed,true,0.08412099445944833,0.037709614634623426,7.0,2.0,9.0,232.19713081820942,0.9581328417553447,1.6044081908106873,0.003,7.0,11496.791520180002,2899,14.9,0.6,3.35,14222,519.5194702148438,false,264.6082305908203,
zenotof-feces-pos,42,8,7,46.1055559,SOBOL,Perturbed,true,0.0555010069856464,0.0119360795918769,12.44208700908262,2.0,6.0,351.9333182569084,0.7418671582446552,1.5,0.003,7.0,4740.876321131098,3142,24.0,1.1,1.706,14287,661.8333129882812,false,389.23809814453125,
zenotof-feces-pos,42,9,8,50.9417857,SOBOL,Perturbed,true,0.02662649552228281,0.024879895901268618,7.0,2.0,3.0,168.83929556689225,0.8799521002126512,1.7955918091893126,0.003,7.0,11135.837048334115,6057,23.9,0.8,4.765,25572,339.8857116699219,false,187.4000015258789,
zenotof-feces-pos,42,10,9,53.0793945,SOBOL,Perturbed,true,0.03037160734210579,0.016615769200648653,15.073985164331887,2.0,6.0,155.07034072965976,0.835212795646644,2.160236163305764,0.003,7.0,3231.816034168261,5499,25.2,1.1,2.103,22477,329.0,false,173.73809051513672,
zenotof-feces-pos,42,11,10,56.355576,SOBOL,Perturbed,true,0.060429034195817646,0.03305965581294106,7.0,4.0,3.0,308.5365491907479,0.97,1.6528067946169487,0.008,15.0,19229.08241653418,3061,15.5,0.6,3.246,15725,653.7714233398438,false,345.20001220703125,
zenotof-feces-pos,42,12,11,59.7169415,SOBOL,Perturbed,true,0.10191526723490289,0.009852055658172732,8.937879374472185,2.0,4.0,214.20261646597527,0.7666082234522256,1.5,0.003,7.0,7759.136350142076,5797,26.9,0.9,3.317,23579,412.6000061035156,false,236.22857666015625,
zenotof-feces-pos,42,13,12,64.9390136,SOBOL,Perturbed,true,0.04374713566674938,0.022951785754946517,7.0,2.0,8.0,91.94648826373783,0.895944982644779,1.8466329233344008,0.003,7.0,8869.576782812783,7021,25.0,0.9,5.163,27695,211.7099609375,false,105.2164535522461,
zenotof-feces-pos,42,14,13,68.5076543,SOBOL,Perturbed,true,0.037065746823726334,0.013614931873600437,7.0,2.0,10.0,183.02297444731403,0.7057926688308607,1.5,0.003,7.0,8626.430388819208,4211,28.5,0.6,3.531,16743,385.2657470703125,false,204.89044189453125,
zenotof-feces-pos,42,15,14,70.2031752,SOBOL,Perturbed,true,0.07374806532544814,0.027089023458528774,10.907857799672906,2.0,5.0,426.37843750538764,0.864787204353356,1.7471932053830512,0.003,7.0,6368.536051715564,2293,13.3,0.6,1.678,12066,881.94287109375,false,480.1999969482422,
zenotof-feces-pos,42,16,15,74.1037585,SOBOL,Perturbed,true,0.05119986138902587,0.019610890693368622,7.0,3.0,3.0,252.81430230649897,0.804055017355221,1.966143967705663,0.005,15.0,22347.06926210955,4153,19.6,0.7,3.86,19881,502.6856994628906,false,281.1142883300781,
zenotof-feces-pos,42,17,16,78.4978593,SOBOL,Perturbed,true,0.026574798859655857,0.04568640061269736,7.572819774049631,2.0,7.0,127.06436272405035,0.9333917765477744,1.5533670766655991,0.003,7.0,11702.109694602274,6206,17.9,0.7,4.343,28160,274.52381896972656,false,143.3333282470703,
zenotof-feces-pos,42,18,17,98.6486332,SOBOL,Surrogate,true,0.026574798859655857,1.4305114746093757E-5,7.0,2.0,3.0,40.0,0.5,1.5,0.003,7.0,1.6354630438205946,88390,64.8,4.2,19.06,139706,75.14286041259766,false,44.228572845458984,
zenotof-feces-pos,42,19,18,105.1988335,SOBOL,Surrogate,true,0.037513703171133464,0.01725967028722941,8.922296069204661,3.0,5.0,74.27631538657559,0.8069789483355605,2.0590942931363307,0.005,15.0,9972.961693050805,16663,36.9,1.9,6.36,56726,134.4857177734375,false,81.37142944335938,false
zenotof-feces-pos,42,20,19,108.7554088,SOBOL,Surrogate,true,0.05004901792738038,0.018552568341683527,7.2237409410547455,2.0,6.0,207.929361965256,0.8437399609529519,1.6499179453233719,0.003,7.0,12865.219258481653,4521,20.3,0.6,3.489,20957,430.23809814453125,false,233.6666717529297,false
zenotof-feces-pos,42,21,20,111.5750594,SOBOL,Surrogate,true,0.052908695279911024,0.028000995198933166,7.0948655336773765,4.0,3.0,350.5714620950457,0.930741819708248,1.718140081254829,0.008,15.0,15797.774027730808,2794,12.8,0.6,2.76,14785,726.0,false,394.3999938964844,false
zenotof-feces-pos,42,22,21,114.2806704,SOBOL,Surrogate,true,0.046548989756133086,0.031163273404510024,7.360445991816088,4.0,3.0,362.54860304278577,0.9674656651178432,1.7380356776885617,0.008,15.0,13664.44023154848,2645,14.2,0.6,2.649,13820,758.6857299804688,false,409.4142761230469,false
zenotof-feces-pos,42,23,22,117.2619138,SOBOL,Surrogate,true,0.04081712401271778,0.028133409505665966,7.991630356952339,3.0,3.0,305.6827808778231,0.8238679764823289,2.067347349558429,0.005,15.0,16502.087103390037,3310,17.6,0.5,2.918,16578,620.0857238769531,false,339.0428466796875,false
