dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,TPE numerical fallback
thermo-20y-qc,42,1,1,3.3911561,SOBOL,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,7160,21.1,18.2,2.616,28866,1274859.4375,false,527478.6875,
thermo-20y-qc,42,2,1,3.396058,SOBOL,Estimate,true,0.030181679874658585,0.04613828659057617,5.0,2.0,5.0,434925.40625,0.85,1.7,0.003,7.0,3014.3277211944846,7160,21.1,18.2,0.0,28866,1274859.4375,true,527478.6875,
thermo-20y-qc,42,3,2,12.3884377,SOBOL,Perturbed,true,0.01729187648743391,0.0071860013339053366,3.0,1.0,3.0,67739.28510167485,0.5004124503671634,1.5,0.001,5.0,1562.3709930098119,51173,55.8,26.1,7.943,109153,170585.25,false,77138.4453125,
thermo-20y-qc,42,4,3,14.0634212,SOBOL,Perturbed,true,0.04228701177809871,0.032930465816533354,3.3812245995294044,1.0,6.0,609366.2066878629,0.7865979634815683,1.9023469250588243,0.001,5.0,1750.4901123595505,4573,21.3,10.9,1.646,17800,1731940.125,false,728815.40625,
thermo-20y-qc,42,5,4,16.3886851,SOBOL,Perturbed,true,0.02154169239568169,0.0646435280136659,6.618775400470596,3.0,3.0,310421.068522793,0.9134020365184317,1.5,0.005,15.0,2995.277909279745,10466,22.4,27.0,2.276,41402,883721.6875,false,379164.25,
thermo-20y-qc,42,6,5,18.5948613,SOBOL,Perturbed,true,0.025736634187185876,0.03934321114452662,5.7647344735145,3.0,4.0,244691.89465783,0.8200478997873487,2.0451048141128023,0.005,15.0,2716.563553078352,8231,23.7,17.9,2.167,31218,1006559.8125,false,329065.53125,
thermo-20y-qc,42,7,6,20.1478186,SOBOL,Perturbed,true,0.05364615529725428,0.08200808231570553,3.0,2.0,8.0,510042.583086839,0.9581328417553447,1.6044081908106873,0.003,7.0,1836.3755150088286,3237,18.2,11.2,1.533,13592,1819750.0,false,630063.90625,
thermo-20y-qc,42,8,7,21.5082982,SOBOL,Perturbed,true,0.03539444176853242,0.025957703550720166,7.76083851290242,2.0,5.0,773054.2495747295,0.7418671582446552,1.5,0.003,7.0,2391.5575547558756,5521,21.6,15.7,1.331,22509,1880095.0,false,896574.4375,
thermo-20y-qc,42,9,8,23.7074057,SOBOL,Perturbed,true,0.01729187648743391,0.054106958420202286,4.2352655264855,1.0,3.0,370871.2081585577,0.8799521002126512,1.7955918091893126,0.001,5.0,2246.5821186614658,7726,23.0,18.7,2.15,29226,1131939.6875,false,455338.15625,
thermo-20y-qc,42,10,9,25.1765657,SOBOL,Perturbed,true,0.01936876726876156,0.03613474657718858,8.681889306446111,2.0,5.0,340626.4188847131,0.835212795646644,2.160236163305764,0.003,7.0,2007.2229781771503,5999,22.1,17.4,1.439,23370,1405742.0,false,452688.140625,
thermo-20y-qc,42,11,10,26.6873245,SOBOL,Perturbed,true,0.03853717343409046,0.07189569560722288,4.622454356935591,3.0,3.0,677729.2121199957,0.97,1.6528067946169487,0.005,15.0,2265.4845288979745,5077,16.8,17.2,1.485,21524,1794814.375,false,801605.96875,
thermo-20y-qc,42,12,11,28.6170881,SOBOL,Perturbed,true,0.06499402780931683,0.021425522356108003,6.1730633866752065,1.0,3.0,470515.95952665264,0.7666082234522256,1.5,0.001,5.0,1991.2401611010687,8448,24.3,21.6,1.887,31533,1106665.5625,false,545754.5625,
thermo-20y-qc,42,13,12,30.9795568,SOBOL,Perturbed,true,0.027898691032710355,0.04991384700484059,3.0,2.0,7.0,201969.00889579311,0.895944982644779,1.8466329233344008,0.003,7.0,3588.5459490205835,7148,21.2,14.8,2.329,28129,861241.0625,false,268763.0625,
thermo-20y-qc,42,14,13,32.3565418,SOBOL,Perturbed,true,0.023637794858367783,0.02960874738793515,3.8269366133247935,2.0,9.0,402026.97734637087,0.7057926688308607,1.5,0.003,7.0,1312.6778748733536,4395,28.5,13.8,1.353,15792,1181501.0,false,490524.125,
thermo-20y-qc,42,15,14,33.5173287,SOBOL,Perturbed,true,0.04703106746114649,0.058911205727342486,7.129151741645303,1.0,4.0,936579.874486217,0.864787204353356,1.7471932053830512,0.001,5.0,1651.182092893117,4258,17.8,13.7,1.141,17870,2319022.5,false,1085278.625,
thermo-20y-qc,42,16,15,35.5872499,SOBOL,Perturbed,true,0.03265148888126433,0.042648315392474115,3.0,3.0,3.0,555330.1168508301,0.804055017355221,1.966143967705663,0.005,15.0,3599.735930895056,6770,20.0,13.3,2.034,27205,1383001.125,false,649037.84375,
thermo-20y-qc,42,17,16,37.2695136,SOBOL,Perturbed,true,0.01729187648743391,0.09935540679629115,5.377545643064409,2.0,6.0,279108.6847356311,0.9333917765477744,1.5533670766655991,0.003,7.0,2874.0966305260467,6518,17.7,18.7,1.654,27393,1109126.5625,false,368673.703125,
thermo-20y-qc,42,18,17,49.5463714,SOBOL,Surrogate,true,0.017291876487433914,1.430511474609375E-6,3.0,1.0,3.0,37804.884765625,0.5,1.5,0.001,5.0,354.3901657147717,88735,62.7,28.7,10.144,152853,98449.9453125,false,44222.529296875,
thermo-20y-qc,42,19,18,51.8072538,SOBOL,Surrogate,true,0.0296591602198817,0.040197671474778505,3.623130112520383,2.0,7.0,179153.83328596843,0.8894893975402036,1.7550190176607503,0.003,7.0,3308.6441157738304,7369,23.8,16.5,2.166,28262,812704.3125,false,240995.5546875,false
thermo-20y-qc,42,20,19,54.1544923,SOBOL,Surrogate,true,0.029322578093315264,0.03442386762248424,3.2430235616678873,2.0,7.0,176126.45576952965,0.8923869440272334,1.80356590079464,0.003,7.0,3404.893802264359,7653,24.0,15.5,2.273,29059,781038.5,false,236135.3359375,false
thermo-20y-qc,42,21,20,56.8038496,SOBOL,Surrogate,true,0.03035373456968101,0.03224265782391848,3.1541013625709025,2.0,7.0,172100.22494629212,0.8911216571005709,1.8556041649751263,0.003,7.0,3411.546869083273,7667,23.7,15.3,2.571,29049,780837.9375,false,230630.4453125,false
thermo-20y-qc,42,22,21,58.199946,SOBOL,Surrogate,true,0.03010176489368603,0.047674894739395776,3.108260660446969,3.0,3.0,1447257.7925448958,0.8045355017884213,1.9778364163966642,0.005,15.0,2395.2754511640724,3228,14.5,6.4,1.34,14518,3364781.125,false,1657588.625,false
thermo-20y-qc,42,23,22,60.4486963,SOBOL,Surrogate,true,0.03041062238336472,0.04943258927800867,3.346665451888201,2.0,7.0,172815.8113832381,0.8908189913897858,1.8630923619338786,0.003,7.0,3321.3301642484657,7299,22.6,15.5,2.176,28189,808676.1875,false,233555.640625,false
