dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
zenotof-feces-pos,42,1,1,6.4292747,SOBOL,Estimate,true,0.04732702486217022,0.02121567726135254,7.0,2.0,6.0,198.0,0.85,1.7,0.003,7.0,15420.158015124638,4598,19.9,0.6,5.641,21422,416.0952453613281,false,220.7142791748047
zenotof-feces-pos,42,2,1,6.434313,SOBOL,Estimate,true,0.04732702486217022,0.02121567726135254,7.0,2.0,6.0,198.0,0.85,1.7,0.003,7.0,15420.158015124638,4598,19.9,0.6,0.0,21422,416.0952453613281,true,220.7142791748047
zenotof-feces-pos,42,3,2,26.753722,SOBOL,Perturbed,true,0.026574798859655857,0.003304324810599357,7.0,2.0,3.0,40.0,0.5004124503671634,1.5,0.003,7.0,83.59880788629069,81400,63.1,4.3,19.258,139584,73.65714263916016,false,44.02857208251953
zenotof-feces-pos,42,4,3,30.174532,SOBOL,Perturbed,true,0.06630904794167297,0.015142351102658257,7.0,2.0,7.0,277.4142581471621,0.7865979634815683,1.9023469250588243,0.003,7.0,12039.831792273591,3326,19.7,0.5,3.39,15790,575.7142639160156,false,309.4047546386719
zenotof-feces-pos,42,5,4,34.0823965,SOBOL,Perturbed,true,0.03377890878895896,0.029724905901756218,9.80757478298048,3.0,4.0,141.31934047601527,0.9134020365184317,1.5,0.005,15.0,13287.635343618513,7986,23.6,1.3,3.845,34937,265.6000061035156,false,154.87142944335938
zenotof-feces-pos,42,6,5,38.9776549,SOBOL,Perturbed,true,0.04035687645962432,0.018091111130208566,8.208989473371041,3.0,5.0,111.39610251786789,0.8200478997873487,2.0451048141128023,0.005,15.0,14013.389422115577,10159,29.8,1.2,4.819,40008,205.57142639160156,false,122.57142639160156
zenotof-feces-pos,42,7,6,42.1964185,SOBOL,Perturbed,true,0.08412099445944833,0.037709614634623426,7.0,2.0,9.0,232.19713081820942,0.9581328417553447,1.6044081908106873,0.003,7.0,11496.791520180002,2899,14.9,0.6,3.192,14222,519.5194702148438,false,264.6082305908203
zenotof-feces-pos,42,8,7,43.8729634,SOBOL,Perturbed,true,0.0555010069856464,0.0119360795918769,12.44208700908262,2.0,6.0,351.9333182569084,0.7418671582446552,1.5,0.003,7.0,4740.876321131098,3142,24.0,1.1,1.655,14287,661.8333129882812,false,389.23809814453125
zenotof-feces-pos,42,9,8,48.4244349,SOBOL,Perturbed,true,0.02662649552228281,0.024879895901268618,7.0,2.0,3.0,168.83929556689225,0.8799521002126512,1.7955918091893126,0.003,7.0,11135.837048334115,6057,23.9,0.8,4.497,25572,339.8857116699219,false,187.4000015258789
zenotof-feces-pos,42,10,9,50.4892302,SOBOL,Perturbed,true,0.03037160734210579,0.016615769200648653,15.073985164331887,2.0,6.0,155.07034072965976,0.835212795646644,2.160236163305764,0.003,7.0,3231.816034168261,5499,25.2,1.1,2.032,22477,329.0,false,173.73809051513672
