dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10,Surrogate numerical fallback
thermo-20y-qc,42,19,18,51.2172277,SOBOL,Surrogate,true,0.03265148888126433,0.04264831539247412,3.0,4.0,3.0,555330.1168508306,0.804055017355221,1.966143967705663,0.008,15.0,3783.164932702801,6790,19.7,13.3,1.879,27490,1381814.375,false,648179.6875,false
thermo-20y-qc,42,20,19,53.5838711,SOBOL,Surrogate,true,0.03272422988876815,0.049206207334756225,3.0,4.0,5.0,278590.6247824782,0.8353878725798304,2.030116440850194,0.008,15.0,4264.394963349622,9357,22.8,16.1,2.299,36016,881609.0625,false,349737.75,false
thermo-20y-qc,42,21,20,55.7421634,SOBOL,Surrogate,true,0.03562582327057044,0.12485076982733463,3.0,4.0,8.0,108027.71881691126,0.8096345461638148,2.3949311991509754,0.008,15.0,2353.3063251437534,6259,25.4,11.9,2.109,22956,659959.9375,false,156942.90625,false
thermo-20y-qc,42,22,21,58.2265257,SOBOL,Surrogate,true,0.03496057349128802,0.06517493028913918,3.0,4.0,8.0,96639.83468519624,0.8248957766325647,1.8203462382134754,0.008,15.0,3077.6225617152413,8528,27.5,14.8,2.428,30503,498996.484375,false,129750.80859375,false
thermo-20y-qc,42,23,22,60.438165,SOBOL,Surrogate,true,0.03386157965538185,0.2726483345031737,3.0,4.0,8.0,104655.95562995638,0.8359974612028773,2.3217805643853504,0.008,15.0,2257.2594113620808,6220,24.0,11.9,2.171,23376,688878.15625,false,155116.1953125,false
thermo-20y-qc,42,24,23,62.7513626,SOBOL,Surrogate,true,0.03417030029432745,0.005979785711911167,3.0,4.0,5.0,379103.0333901164,0.8969276369841273,2.1712678690728504,0.008,15.0,3287.7962648556877,7894,24.4,15.2,2.25,29450,1114222.5,false,460028.546875,false
thermo-20y-qc,42,25,24,64.8195581,SOBOL,Surrogate,true,0.03262016034731772,0.0034072430844229386,3.69671630859375,4.0,6.0,273962.8533396271,0.8990504397185022,2.0447419901666004,0.008,15.0,2294.551185993245,7321,28.3,15.6,2.023,25759,1096479.25,false,367729.5625,false
thermo-20y-qc,42,26,25,67.2323642,SOBOL,Surrogate,true,0.03335201831571858,0.025513409933070018,3.074432373046875,4.0,5.0,306954.22433192056,0.8863243807585413,2.0057519694146473,0.008,15.0,4001.497388070714,8701,21.6,16.5,2.355,33883,962030.8125,false,383119.40625,false
thermo-20y-qc,42,27,26,69.2004459,SOBOL,Surrogate,true,0.03218400183858921,0.059594538833254676,3.638946533203125,4.0,4.0,329609.00582415273,0.8832334078581507,1.9928201456841785,0.008,15.0,3410.697762250968,8008,20.4,17.6,1.921,31773,1044157.53125,false,414716.0625,false
thermo-20y-qc,42,28,27,71.0973806,SOBOL,Surrogate,true,0.03392591231866597,0.011664111455687787,3.921661376953125,4.0,4.0,274615.17043761676,0.8874216402800257,2.0307229777154285,0.008,15.0,3084.1285491905355,8519,24.4,18.1,1.851,32120,991970.75,false,359288.34375,false
thermo-20y-qc,42,29,28,73.4366699,SOBOL,Surrogate,true,0.029243277309273955,0.032070740210846604,3.0,4.0,5.0,296084.92311527394,0.8007596529753382,1.9791787882623035,0.008,15.0,4164.63104866536,9565,24.0,16.0,2.256,36227,885356.5625,false,366499.890625,false
thermo-20y-qc,42,30,29,75.6623967,SOBOL,Surrogate,true,0.031128795282193342,0.032405654535210396,3.0,4.0,5.0,329699.9030018251,0.8203238619597132,2.0163491984185535,0.008,15.0,4078.652235294118,8855,22.9,15.6,2.16,34000,971262.5625,false,404714.6875,false
thermo-20y-qc,42,31,30,77.8252977,SOBOL,Surrogate,true,0.03045668425601165,0.04041636695636963,3.0,4.0,5.0,355408.8676021214,0.8192857683928187,1.936509491997655,0.008,15.0,4185.442350299843,8697,22.5,15.4,2.099,33851,1003592.6875,false,427493.78125,false
thermo-20y-qc,42,32,31,80.4635608,SOBOL,Surrogate,true,0.030547186390885574,0.03800219308995935,3.0,4.0,5.0,217617.0359063639,0.8119707049162561,1.95546090801328,0.008,15.0,4435.960230041915,11085,25.1,16.9,2.554,41036,722699.9375,false,271670.15625,false
thermo-20y-qc,42,33,32,83.5680101,SOBOL,Surrogate,true,0.030547186390885574,0.03800219308995935,3.0,4.0,5.0,217617.0359063639,0.8119707049162561,1.5,0.008,15.0,5345.578366659569,13819,25.0,18.3,2.97,51661,641566.375,false,262945.03125,false
thermo-20y-qc,42,34,33,86.853123,SOBOL,Surrogate,true,0.032951333573884585,0.06577618738224393,3.0,4.0,4.0,204847.2811351917,0.7829453219206506,1.5,0.008,15.0,5368.140054331422,15595,22.8,20.9,3.14,59634,583815.25,false,246892.8359375,false
thermo-20y-qc,42,35,34,90.3858314,SOBOL,Surrogate,true,0.032951333573884585,0.2726483345031737,3.0,4.0,4.0,204847.2811351917,0.7829453219206506,1.5,0.008,15.0,4144.822215727401,14395,19.5,20.2,3.418,58166,650235.6875,false,254631.7421875,false
thermo-20y-qc,42,36,35,94.0386882,SOBOL,Surrogate,true,0.033324379556406956,0.1381981608596764,3.0,4.0,4.0,209733.99763725055,0.8087201632292443,1.5,0.008,15.0,4975.458582600704,14509,20.8,20.8,3.524,57669,627936.625,false,257011.65625,false
thermo-20y-qc,42,37,36,97.9772919,SOBOL,Surrogate,true,0.03488210040336992,0.20076401121815582,3.0,4.0,4.0,190032.660409115,0.758224710348385,1.5,0.008,15.0,4603.247590759076,15217,20.1,20.5,3.798,60600,592348.6875,false,233018.40625,false
thermo-20y-qc,42,38,37,101.8249657,SOBOL,Surrogate,true,0.034239701216669964,0.16932626989712726,3.0,4.0,4.0,206506.1041390105,0.8045677889616663,1.5,0.008,15.0,4760.064230842596,14436,20.5,20.6,3.717,57667,627611.5625,false,254014.5546875,false
thermo-20y-qc,42,39,38,105.6157512,SOBOL,Surrogate,true,0.03418819673149385,0.06123640562889317,3.0,4.0,5.0,149826.53025945483,0.8025346316130334,1.5,0.008,15.0,5141.5402066336765,16124,24.7,19.6,3.617,59816,499508.15625,false,185791.640625,false
thermo-20y-qc,42,40,39,109.245368,SOBOL,Surrogate,true,0.03020720639904998,0.06478616217915277,3.0,4.0,5.0,183762.1917770296,0.7764101733000451,1.5,0.008,15.0,5269.672073218135,14976,23.5,18.8,3.48,56598,572999.21875,false,225001.5,false
thermo-20y-qc,42,41,40,112.711659,SOBOL,Surrogate,true,0.033294947671249825,0.07564790546345863,3.0,4.0,5.0,171728.5693967952,0.8046484698088342,1.5,0.008,15.0,5213.535361364076,14929,23.4,19.1,3.347,56771,561871.5625,false,213016.2265625,false
thermo-20y-qc,42,42,41,116.3442507,SOBOL,Surrogate,true,0.03370275175283329,0.05195728986000693,3.0,4.0,5.0,170560.60892737375,0.799463380697506,1.5,0.008,15.0,5350.236711094031,15414,24.9,19.1,3.485,57247,545329.15625,false,209786.375,false
thermo-20y-qc,42,43,42,119.9117632,SOBOL,Surrogate,true,0.030816779643505012,0.06703735284919833,3.0041885375976562,4.0,5.0,166281.15050921525,0.7998103083403283,1.5083684921264648,0.008,15.0,5244.416480219227,15325,24.1,19.1,3.418,57657,544522.5,false,206095.5546875,false
thermo-20y-qc,42,44,43,123.024481,SOBOL,Surrogate,true,0.032951333573884585,0.06577618738224393,3.0,4.0,4.0,204847.2811351917,0.97,1.5,0.008,15.0,4470.785041974053,10950,21.3,22.2,3.033,43241,709334.40625,false,261215.5859375,false
thermo-20y-qc,42,45,44,126.8047315,SOBOL,Surrogate,true,0.030622681068710612,0.05467117487829953,3.0,4.0,4.0,177496.13855480068,0.7968318941862755,1.5,0.008,15.0,5446.569562748438,16987,24.6,21.5,3.615,63396,524772.6875,false,215111.765625,false
thermo-20y-qc,42,46,45,130.2400166,SOBOL,Surrogate,true,0.030622681068710612,0.05467117487829953,3.0,4.0,4.0,177496.13855480068,0.97,1.5,0.008,15.0,4566.573870009897,11604,21.7,22.9,3.33,45465,648936.09375,false,229698.8046875,false
thermo-20y-qc,42,47,46,130.5793671,SOBOL,Surrogate,true,0.03354404668643843,4.388174124593712E-6,14.7535400390625,4.0,14.0,2253733.3631575992,0.6718179321289063,1.8981170654296875,0.008,15.0,24.62562814070352,529,30.1,8.9,0.327,1592,8915057.0,false,2771362.0,false
thermo-20y-qc,42,48,47,130.8826111,SOBOL,Surrogate,true,0.03642443998986093,3.1284385143494097E-6,14.8883056640625,3.0,12.0,3228915.062398192,0.8928189086914062,2.5668182373046875,0.005,15.0,30.592717464598785,494,32.4,3.6,0.292,1483,1.3869736E7,false,4129720.75,false
thermo-20y-qc,42,49,48,131.7387394,SOBOL,Surrogate,true,0.08945598959901647,1.335649476205067E-5,13.0103759765625,2.0,16.0,40363.47599650364,0.9321768188476562,1.6494598388671875,0.003,7.0,97.73390172761947,1521,36.2,21.6,0.813,4457,884630.6875,false,154078.203125,false
thermo-20y-qc,42,50,49,132.5852965,SOBOL,Surrogate,true,0.09419896206572564,1.7227433796990706E-6,9.9224853515625,4.0,16.0,65432.07251554943,0.9626992797851562,2.7971649169921875,0.008,15.0,33.125,736,35.2,8.4,0.836,2120,2094437.4375,false,247645.015625,false
thermo-20y-qc,42,51,50,133.2882329,SOBOL,Surrogate,true,0.03675331906353309,3.971350426599269E-6,13.6640625,1.0,16.0,47974.66781862202,0.80017578125,1.5556640625,0.001,5.0,25.740226986128626,2572,54.7,27.7,0.683,5551,401072.265625,false,103205.15625,false
thermo-20y-qc,42,52,51,134.2614696,SOBOL,Surrogate,true,0.26878959206594,1.659379925617213E-6,11.244140625,2.0,15.0,43441.213881226235,0.9252490234374999,1.919677734375,0.003,7.0,135.09372217275157,1427,30.8,17.4,0.957,4492,1261899.75,false,173079.8984375,false
thermo-20y-qc,42,53,52,135.0110746,SOBOL,Surrogate,true,0.03387055662128549,3.668313232814542E-5,14.9970703125,2.0,15.0,38013.9430674348,0.6490551757812499,1.7823486328125,0.003,7.0,45.72056541975522,2530,51.0,30.4,0.735,5801,409027.65625,false,110171.1171875,false
thermo-20y-qc,42,54,53,139.0316514,SOBOL,Surrogate,true,0.017291876487433914,0.05467117487829953,3.0,4.0,4.0,177496.13855480068,0.7968318941862755,1.5,0.008,15.0,5364.560361443925,17350,24.5,22.0,3.843,64851,523346.40625,false,215381.984375,false
thermo-20y-qc,42,55,54,139.2845904,SOBOL,Surrogate,true,0.12783729890066606,0.24176571617950357,14.20166015625,2.0,14.0,3005948.104826224,0.7798083496093751,2.39776611328125,0.003,7.0,62.03621908127209,263,19.0,4.9,0.245,1132,1.136785E7,false,3851769.5,false
thermo-20y-qc,42,56,55,139.7579986,SOBOL,Surrogate,true,0.0261326872172627,0.15861489744509544,14.43017578125,2.0,3.0,2920972.5227791346,0.503729248046875,2.54791259765625,0.003,7.0,549.986143187067,1546,13.1,9.6,0.459,6928,7465887.25,false,3422555.5,false
thermo-20y-qc,42,57,56,140.0643485,SOBOL,Surrogate,true,0.26294304846477706,0.11409195331629965,14.88427734375,4.0,11.0,2397653.5173835875,0.521744384765625,2.64569091796875,0.008,15.0,145.42923867351703,494,19.2,6.9,0.298,2141,8814634.0,false,3056610.0,false
thermo-20y-qc,42,58,57,140.3234796,SOBOL,Surrogate,true,0.08103430822630843,0.09719505515267782,14.74951171875,3.0,16.0,2636212.6931523667,0.741827392578125,1.81878662109375,0.005,15.0,39.225550660792955,266,14.7,4.9,0.251,1135,9687801.0,false,3143839.875,false
thermo-20y-qc,42,59,58,143.9616546,SOBOL,Surrogate,true,0.30181679874658573,0.05467117487829953,3.0,4.0,4.0,177496.13855480068,0.7968318941862755,1.5,0.008,15.0,4613.554061636741,11655,21.3,22.3,3.533,46336,574859.0625,false,220253.4921875,false
