dataset,distribution,value
thermo-20y-qc,edgeIntensities,11599.4375
thermo-20y-qc,edgeIntensities,11611.2314453125
thermo-20y-qc,edgeIntensities,11614.9560546875
thermo-20y-qc,edgeIntensities,11675.1953125
thermo-20y-qc,edgeIntensities,11695.2451171875
thermo-20y-qc,edgeIntensities,11722.10546875
thermo-20y-qc,edgeIntensities,11738.076171875
thermo-20y-qc,edgeIntensities,11788.3828125
thermo-20y-qc,edgeIntensities,11790.24609375
thermo-20y-qc,edgeIntensities,11808.2939453125
thermo-20y-qc,edgeIntensities,11826.7080078125
thermo-20y-qc,edgeIntensities,11833.259765625
thermo-20y-qc,edgeIntensities,11921.650390625
thermo-20y-qc,edgeIntensities,11953.197265625
thermo-20y-qc,edgeIntensities,12018.0615234375
thermo-20y-qc,edgeIntensities,12052.8994140625
thermo-20y-qc,edgeIntensities,12059.384765625
thermo-20y-qc,edgeIntensities,12062.775390625
thermo-20y-qc,edgeIntensities,12114.9521484375
thermo-20y-qc,edgeIntensities,12165.5263671875
thermo-20y-qc,edgeIntensities,12172.1982421875
thermo-20y-qc,edgeIntensities,12245.3017578125
thermo-20y-qc,edgeIntensities,12252.9609375
thermo-20y-qc,edgeIntensities,12278.46484375
thermo-20y-qc,edgeIntensities,12279.8896484375
thermo-20y-qc,edgeIntensities,12282.736328125
thermo-20y-qc,edgeIntensities,12326.7802734375
thermo-20y-qc,edgeIntensities,12382.10546875
thermo-20y-qc,edgeIntensities,12383.2578125
thermo-20y-qc,edgeIntensities,12400.232421875
thermo-20y-qc,edgeIntensities,12452.1708984375
thermo-20y-qc,edgeIntensities,12458.2197265625
thermo-20y-qc,edgeIntensities,12477.7294921875
thermo-20y-qc,edgeIntensities,12495.0009765625
thermo-20y-qc,edgeIntensities,12506.25
thermo-20y-qc,edgeIntensities,12586.8876953125
thermo-20y-qc,edgeIntensities,12629.0166015625
thermo-20y-qc,edgeIntensities,12663.5322265625
thermo-20y-qc,edgeIntensities,12666.1513671875
thermo-20y-qc,edgeIntensities,12724.3447265625
thermo-20y-qc,edgeIntensities,12833.859375
thermo-20y-qc,edgeIntensities,12866.0732421875
thermo-20y-qc,edgeIntensities,12914.939453125
thermo-20y-qc,edgeIntensities,12995.359375
thermo-20y-qc,edgeIntensities,13054.4326171875
thermo-20y-qc,edgeIntensities,13062.669921875
thermo-20y-qc,edgeIntensities,13063.5703125
thermo-20y-qc,edgeIntensities,13088.525390625
thermo-20y-qc,edgeIntensities,13108.6376953125
thermo-20y-qc,edgeIntensities,13109.8037109375
thermo-20y-qc,edgeIntensities,13121.3369140625
thermo-20y-qc,edgeIntensities,13137.982421875
thermo-20y-qc,edgeIntensities,13217.9189453125
thermo-20y-qc,edgeIntensities,13235.1962890625
thermo-20y-qc,edgeIntensities,13255.4501953125
thermo-20y-qc,edgeIntensities,13294.84765625
thermo-20y-qc,edgeIntensities,13308.0966796875
thermo-20y-qc,edgeIntensities,13315.35546875
thermo-20y-qc,edgeIntensities,13353.6640625
thermo-20y-qc,edgeIntensities,13377.8515625
thermo-20y-qc,edgeIntensities,13381.2705078125
thermo-20y-qc,edgeIntensities,13402.611328125
thermo-20y-qc,edgeIntensities,13414.4609375
thermo-20y-qc,edgeIntensities,13497.6767578125
thermo-20y-qc,edgeIntensities,13521.74609375
thermo-20y-qc,edgeIntensities,13549.9013671875
thermo-20y-qc,edgeIntensities,13570.46875
thermo-20y-qc,edgeIntensities,13637.06640625
thermo-20y-qc,edgeIntensities,13759.4736328125
thermo-20y-qc,edgeIntensities,13832.041015625
thermo-20y-qc,edgeIntensities,13871.31640625
thermo-20y-qc,edgeIntensities,13871.541015625
thermo-20y-qc,edgeIntensities,13877.1650390625
thermo-20y-qc,edgeIntensities,13878.890625
thermo-20y-qc,edgeIntensities,13889.1201171875
thermo-20y-qc,edgeIntensities,13895.775390625
thermo-20y-qc,edgeIntensities,13906.486328125
thermo-20y-qc,edgeIntensities,13916.04296875
thermo-20y-qc,edgeIntensities,13922.291015625
thermo-20y-qc,edgeIntensities,13947.8994140625
thermo-20y-qc,edgeIntensities,13951.1552734375
thermo-20y-qc,edgeIntensities,14023.521484375
