dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Origin,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,42,18,17,30.2872758,GAUSSIAN,Perturbed,true,0.04469496764319332,0.023801263294209944,7.506068752601084,1.0,4.0,472522.4078682131,0.8338017858137337,1.5760898536047172,0.001,5.0,1956.636189481017,Perturbed,7672,25.0,20.7,1.489,28710,1231440.625,false,558542.875
thermo-20y-qc,42,19,18,31.5690948,GAUSSIAN,Perturbed,true,0.02157636002818026,0.05833036745794067,3.6628274950305846,2.0,4.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2865.1776251226693,Perturbed,4487,16.9,10.6,1.251,19361,2282860.25,false,1101605.1875
thermo-20y-qc,42,20,19,33.3738566,GAUSSIAN,Perturbed,true,0.027765481861850638,0.04603073274948684,7.132601649804022,4.0,3.0,334667.60150138143,0.8422867609300768,1.780991958355724,0.008,15.0,2648.552021412343,Perturbed,8295,22.9,20.4,1.755,32131,1063212.625,false,419597.421875
thermo-20y-qc,42,21,20,34.9899068,GAUSSIAN,Perturbed,true,0.01960951999852935,0.03656450301013509,3.290680186976376,1.0,6.0,507116.41843488545,0.8726062127848705,1.5,0.001,5.0,2581.2291513711943,Perturbed,5886,22.1,13.5,1.576,23155,1385711.0625,false,600988.96875
thermo-20y-qc,42,22,21,36.4069557,GAUSSIAN,Evolution,true,0.030181679874658585,0.04613828659057617,4.786186654930637,2.0,4.0,702949.88803116,0.8494385429645834,1.5091424328845229,0.003,7.0,3143.4170196813498,Evolution,6307,19.3,17.6,1.373,26675,1639582.875,false,808109.78125
thermo-20y-qc,42,23,21,36.4071199,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.1621204399788443,2.0,3.0,1009573.1944691526,0.6708704903821182,1.646488722812628,0.003,7.0,3694.405398856257,Evolution,4698,16.4,9.8,0.0,20634,2260620.375,true,1135690.0625
thermo-20y-qc,42,24,22,37.8548381,GAUSSIAN,Evolution,true,0.0415460504031595,0.05647870146424718,5.279557524084569,1.0,5.0,545304.8598045261,0.8265154310747097,1.5807030204417132,0.001,5.0,2159.053881098163,Evolution,6351,20.9,16.8,1.408,25315,1471460.125,false,648967.75
thermo-20y-qc,42,25,23,38.7862539,GAUSSIAN,Evolution,true,0.03333659402380141,0.0516489195579371,6.009397847111248,1.0,4.0,1332030.2815142209,0.7827044172222793,1.5,0.001,5.0,2120.31198696282,Evolution,3764,16.4,10.8,0.906,16568,2939123.75,false,1510935.5
thermo-20y-qc,42,26,24,41.0919286,GAUSSIAN,Evolution,true,0.042653012873421506,0.13800647937954616,3.0,1.0,6.0,303108.0299861271,0.8136986264039631,1.5,0.001,5.0,2581.9919328065866,Evolution,7756,20.9,14.6,2.242,30122,937747.875,false,373599.90625
thermo-20y-qc,42,27,25,42.5672614,GAUSSIAN,Evolution,true,0.024257001826126584,0.010505628193910349,3.0,3.0,4.0,1035988.2866427376,0.9486182050156893,1.6886468750281196,0.005,15.0,3130.935204616999,Evolution,4399,16.8,9.6,1.447,19060,2469399.0,false,1188110.3125
thermo-20y-qc,42,28,26,43.9327166,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.5038694580632668,2.0,3.0,1009573.1944691526,0.6708704903821182,1.637841740186916,0.003,7.0,3467.243438032627,Evolution,4705,17.2,10.6,1.333,20535,2277278.0,false,1138515.75
thermo-20y-qc,42,29,26,43.9328411,GAUSSIAN,Evolution,true,0.020505485846502716,0.05408104817220428,4.6066907282047,2.0,5.0,458634.0503518928,0.8131184858290411,2.048354809551391,0.003,7.0,2722.0418710372055,Evolution,6266,21.0,16.0,0.0,25077,1425394.4375,true,567007.90625
thermo-20y-qc,42,30,27,45.3834895,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.5038694580632668,2.0,3.0,916255.7746182769,0.6708704903821182,1.637841740186916,0.003,7.0,3458.249387421726,Evolution,5094,17.2,11.6,1.418,22038,2077867.9375,false,1036456.9375
thermo-20y-qc,42,31,28,46.7530811,GAUSSIAN,Evolution,true,0.07637214960293222,0.04546300856394464,7.392443654499708,3.0,6.0,237626.23831407606,0.97,2.0305041571884885,0.005,15.0,1708.7606120714083,Evolution,4452,19.3,15.8,1.343,17645,1362475.4375,false,355760.875
thermo-20y-qc,42,32,28,46.7532416,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.1621204399788443,2.0,3.0,1009573.1944691526,0.6708704903821182,1.646488722812628,0.003,7.0,3694.405398856257,Evolution,4698,16.4,9.8,0.0,20634,2260620.375,true,1135690.0625
thermo-20y-qc,42,33,29,48.3443153,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.323258377232491,2.0,3.0,821188.3206688032,0.6780884202104697,1.637841740186916,0.003,7.0,3772.7383401200623,Evolution,5568,17.9,12.2,1.552,23821,1872517.5,false,943737.09375
thermo-20y-qc,42,34,30,50.0449114,GAUSSIAN,Evolution,true,0.01729187648743391,0.03802659879563827,3.0,2.0,6.0,482065.45749843563,0.8100810724391962,2.2049579033356785,0.003,7.0,2906.9092831153507,Evolution,5051,19.2,11.6,1.67,20338,1480116.75,false,589686.3125
thermo-20y-qc,42,35,31,51.3190414,GAUSSIAN,Evolution,true,0.02157636002818026,0.05833036745794067,3.6628274950305846,2.0,5.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2845.1794789835385,Evolution,4315,16.5,10.1,1.244,18771,2406776.5,false,1120864.125
thermo-20y-qc,42,36,31,51.3191679,GAUSSIAN,Evolution,true,0.04694007967642122,0.07033429792769624,6.566551486401897,2.0,7.0,482078.5097067614,0.8544672467102411,1.681077241704884,0.003,7.0,1873.8216860937923,Evolution,4459,19.1,14.3,0.0,18445,1627241.5,true,601225.03125
thermo-20y-qc,42,37,32,52.6644085,GAUSSIAN,Evolution,true,0.024154882196957307,0.028498002314336687,4.2581027783184595,2.0,3.0,916255.7746182769,0.6708704903821182,1.5872682614231457,0.003,7.0,3014.968670731165,Evolution,5341,19.8,13.7,1.313,22471,2036752.625,false,1032844.875
thermo-20y-qc,42,38,33,53.9822612,GAUSSIAN,Evolution,true,0.02157636002818026,0.05833036745794067,3.582258526403761,2.0,5.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2890.150180812593,Evolution,4322,16.5,9.9,1.29,18804,2402692.5,false,1120587.1875
thermo-20y-qc,42,39,34,55.6869971,GAUSSIAN,Evolution,true,0.01729187648743391,0.03802659879563827,3.0,2.0,6.0,482065.45749843563,0.8100810724391962,2.158228511985761,0.003,7.0,2967.764537839539,Evolution,5110,19.0,11.6,1.674,20653,1462512.9375,false,589518.125
thermo-20y-qc,42,40,35,57.5280644,GAUSSIAN,Evolution,true,0.027765481861850638,0.04603073274948684,6.654594734021721,4.0,3.0,334667.60150138143,0.8458957258442525,1.7626448865402935,0.008,15.0,2771.1394639025716,Evolution,8522,22.6,20.7,1.785,33091,1037052.0625,false,418692.515625
thermo-20y-qc,42,41,36,59.8712276,GAUSSIAN,Evolution,true,0.02330840213219885,0.015258731015054067,3.1230940073085653,3.0,3.0,460071.0188129611,0.915067331305756,1.5,0.005,15.0,4461.068089485943,Evolution,9267,23.5,18.3,2.282,36922,1076868.25,false,529971.375
thermo-20y-qc,42,42,37,61.2997716,GAUSSIAN,Evolution,true,0.029927673764644013,0.07843045804902052,3.5038694580632668,2.0,3.0,916255.7746182769,0.5487720699202994,1.637841740186916,0.003,7.0,3350.082109570357,Evolution,5044,16.7,11.6,1.395,21995,2102282.375,false,1038477.28125
thermo-20y-qc,42,43,38,62.751215,GAUSSIAN,Evolution,true,0.029927673764644013,0.05879221657220782,3.1621204399788443,2.0,3.0,1009573.1944691526,0.5487720699202994,1.646488722812628,0.003,7.0,3779.9513919147907,Evolution,4731,17.4,9.9,1.418,20655,2270473.0,false,1135959.75
thermo-20y-qc,42,44,39,64.0027772,GAUSSIAN,Evolution,true,0.02157636002818026,0.05833036745794067,3.97445690164904,2.0,5.0,956848.9010252446,0.7086635828709362,1.9109676780492442,0.003,7.0,2646.521921566518,Evolution,4291,16.9,10.8,1.224,18589,2412947.0,false,1120789.375
thermo-20y-qc,42,45,40,65.8213478,GAUSSIAN,Evolution,true,0.01729187648743391,0.05979334157421515,3.0,2.0,6.0,482065.45749843563,0.8100810724391962,2.2049579033356785,0.003,7.0,2902.3323661043623,Evolution,4987,18.3,11.4,1.789,20333,1486884.375,false,590805.15625
thermo-20y-qc,42,46,41,68.3488997,GAUSSIAN,Evolution,true,0.02330840213219885,0.015258731015054067,3.1230940073085653,3.0,3.0,377136.6070051315,0.915067331305756,1.5,0.005,15.0,4497.214028690688,Evolution,10734,24.3,20.1,2.455,41686,915568.0,false,435537.578125
